name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url
Downpour Jacket,Rab,"125,96 €",125.96,139.95,10.0,4.7,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3518-0611_pic1_1.jpg,https://www.bergfreunde.de/rab-downpour-jacket-regenjacke/
Women's Fleece Light Grid Hoody,Ortovox,"ab 159,96 €",159.96,199.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-7299-0311_pic1_1.jpg,https://www.bergfreunde.de/ortovox-womens-fleece-light-grid-hoody-fleecejacke/
Women's Fleece Grid Jacket,Ortovox,"ab 153,97 €",153.97,219.95,30.0,4.8,9,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5184-1111_pic1_1.jpg,https://www.bergfreunde.de/ortovox-womens-fleece-grid-jacket-fleecejacke-bf/
Alpha SL Jacket,Arc'teryx,"499,95 €",499.95,499.95,0.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3966-0211_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-alpha-sl-jacket-regenjacke/
Kinder Kapuzenjacke mit Holzknöpfen,Engel,"ab 52,22 €",52.22,66.95,22.0,4.9,46,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-1505-0911_pic1_1.jpg,https://www.bergfreunde.de/engel-kinder-kapuzenjacke-mit-holzknoepfen-wolljacke/
Teen's Reaxion Fullzip Hoodie,The North Face,"ab 51,96 €",51.96,64.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-6077-0511_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-teens-reaxion-fullzip-hoodie-freizeitjacke/
Duck Detroit Jacket,Carhartt,"132,56 €",132.56,169.95,22.0,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-1830-0211_pic1_1.jpg,https://www.bergfreunde.de/carhartt-duck-detroit-jacket-freizeitjacke/
Räven Jacket,Fjällräven,"243,56 €",243.56,289.95,16.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-2392-0211_pic1_1.jpg,https://www.bergfreunde.de/fjaellraeven-raeven-jacket-freizeitjacke/
PepperbushHe. Fleece Jacket,Heber Peak,"24,58 €",24.58,59.95,59.0,3.8,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-7069-0311_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-pepperbushhe-fleece-jacket-fleecejacke/
Women's MountainWool AsplidenSt. III Ski Jacket,Stoic,"ab 90,98 €",90.98,259.95,65.0,4.8,13,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6192-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-mountainwool-asplidenst-iii-ski-jacket-skijacke/
Women's Treeline Light Hardshell Hooded Jacket,Mammut,"218,36 €",218.36,279.95,22.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4442-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-treeline-light-hardshell-hooded-jacket-regenjacke/
Women's Broad Peak Insulation Hooded Jacket,Mammut,"269,96 €",269.96,359.95,25.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6128-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-broad-peak-insulation-hooded-jacket-daunenjacke/
Broad Peak Insulation Hooded Jacket,Mammut,"269,96 €",269.96,359.95,25.0,3.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6945-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-broad-peak-insulation-hooded-jacket-daunenjacke-bf/
Light & Variable Jacket,Patagonia,"139,95 €",139.95,139.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3566-0211_pic1_1.jpg,https://www.bergfreunde.de/patagonia-light-variable-jacket-freizeitjacke/
Girl's Kristiansand Jacket XT,Trollkids,"ab 43,76 €",43.76,59.95,27.01,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-5391-0511_pic1_1.jpg,https://www.bergfreunde.de/trollkids-girls-kristiansand-jacket-xt-softshelljacke/
MountainWool60 JokkmokkSt. Hybrid Jacket,Stoic,"ab 76,48 €",76.48,169.95,55.0,4.9,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6565-0311_pic1_1.jpg,https://www.bergfreunde.de/stoic-mountainwool60-jokkmokkst-hybrid-jacket-isolationsjacke/
Women's Falketind Dri1 Jacket,Norrøna,"348,95 €",348.95,348.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4591-0211_pic1_1.jpg,https://www.bergfreunde.de/norroena-womens-falketind-dri1-jacket-regenjacke/
Women's Firewall Light Jacket,Rab,"187,16 €",187.16,239.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5152-0311_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-firewall-light-jacket-regenjacke/
Kid's Kristiansand Jacket,Trollkids,"ab 41,97 €",41.97,59.95,29.99,5.0,11,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-2543-1611_pic1_1.jpg,https://www.bergfreunde.de/trollkids-kids-kristiansand-jacket-softshelljacke/
Ultimate Comfort Softshell Hooded Jacket,Mammut,"187,16 €",187.16,239.95,22.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3448-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-ultimate-comfort-softshell-hooded-jacket-softshelljacke/
Women's 2 Layer Jacket Fix Hood,CMP,"77,96 €",77.96,99.95,22.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4532-0811_pic1_1.jpg,https://www.bergfreunde.de/cmp-womens-2-layer-jacket-fix-hood-regenjacke/
Women's Lara Quilted Jacket,Passenger,"123,45 €",123.45,123.45,0.0,4.9,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2496-0411_pic1_1.jpg,https://www.bergfreunde.de/passenger-womens-lara-quilted-jacket-freizeitjacke/
Women's Pedroc 2 PTX 2.5 Light Jacket,Salewa,"175,96 €",175.96,219.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5316-0111_pic1_1.jpg,https://www.bergfreunde.de/salewa-womens-pedroc-2-ptx-25-light-jacket-regenjacke/
Women's Cirrus Flex Hoody,Rab,"140,36 €",140.36,179.95,22.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5084-0511_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-cirrus-flex-hoody-kunstfaserjacke/
"Simony 2,5L Jacket V",Vaude,"183,96 €",183.96,229.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3444-0411_pic1_1.jpg,https://www.bergfreunde.de/vaude-simony-25l-jacket-v-regenjacke/
Girls Bergen Jacket,Trollkids,"ab 48,97 €",48.97,69.95,29.99,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-2387-1311_pic1_1.jpg,https://www.bergfreunde.de/trollkids-girls-bergen-jacket-regenjacke/
Seceda Softshell Jacket,Ortovox,"ab 231,96 €",231.96,289.95,20.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3276-0411_pic1_1.jpg,https://www.bergfreunde.de/ortovox-seceda-softshell-jacket-softshelljacke/
Women's MountainWool60 JokkmokkSt. Hoody,Stoic,"ab 85,48 €",85.48,189.95,55.0,4.1,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6677-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-mountainwool60-jokkmokkst-hoody-isolationsjacke/
Women's Jacket Style Blaueis,Schöffel,"287,96 €",287.96,359.95,20.0,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4482-0411_pic1_1.jpg,https://www.bergfreunde.de/schoeffel-womens-jacket-style-blaueis-regenjacke/
Women's WildwoodHe. Wind Jacket,Heber Peak,"47,23 €",47.23,104.95,55.0,4.6,17,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_118-0319-0211_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-womens-wildwoodhe-wind-jacket-windjacke/
CrownHe. II Knit Zip Hoody,Heber Peak,"ab 24,48 €",24.48,69.95,65.0,4.1,24,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5548-0211_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-crownhe-ii-knit-zip-hoody-fleecejacke/
Women's Textured Fleece Hoody,Patagonia,"159,95 €",159.95,159.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-7276-0311_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-textured-fleece-hoody-fleecejacke/
Women's Skysail Jacket,Patagonia,"209,95 €",209.95,209.95,0.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-1472-0611_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-skysail-jacket-freizeitjacke-bf/
Women's MerinoFleece335 MMXX. Lulea Zip Hoody,Stoic,"84,98 €",84.98,169.95,50.0,4.6,13,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5559-0411_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinofleece335-mmxx-lulea-zip-hoody-fleecejacke/
Kid's Junior Andreson Hybrid,Regatta,"47,97 €",47.97,79.95,40.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-7785-0311_pic1_1.jpg,https://www.bergfreunde.de/regatta-kids-junior-andreson-hybrid-hybridjacke/
MerinoFleece270 KuolpaLightSt. Zip Hoody,Stoic,"93,47 €",93.47,169.95,45.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6888-0411_pic1_1.jpg,https://www.bergfreunde.de/stoic-merinofleece270-kuolpalightst-zip-hoody-merinohoodie/
Women's Agner 2 PTX 3L Jacket,Salewa,"ab 136,77 €",136.77,239.95,43.0,4.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-2798-0311_pic1_1.jpg,https://www.bergfreunde.de/salewa-womens-agner-2-ptx-3l-jacket-regenjacke/
Women's Seceda 3L Jacket,Ortovox,"ab 310,76 €",310.76,369.95,16.0,5.0,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4638-0311_pic1_1.jpg,https://www.bergfreunde.de/ortovox-womens-seceda-3l-jacket-hardshelljacke/
Korp Proof Jacket,Haglöfs,"ab 139,58 €",139.58,178.95,22.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2737-0611_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-korp-proof-jacket-regenjacke/
Women's Aenergy Windbreaker Hooded Jacket,Mammut,"ab 107,07 €",107.07,169.95,37.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_118-0278-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-aenergy-windbreaker-hooded-jacket-windjacke/
Women's Light & Variable Jacket,Patagonia,"139,95 €",139.95,139.95,0.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2876-0211_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-light-variable-jacket-freizeitjacke/
Women's Mineo Rain Jacket,Vaude,"159,96 €",159.96,199.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4569-0311_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-mineo-rain-jacket-regenjacke/
Women's Light Softshell Jacket Zip Hood,CMP,"ab 62,36 €",62.36,79.95,22.0,4.3,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2139-1611_pic1_1.jpg,https://www.bergfreunde.de/cmp-womens-light-softshell-jacket-zip-hood-softshelljacke/
Marek USX Parka,Didriksons,"ab 174,98 €",174.98,349.95,50.0,4.7,64,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-5620-0611_pic1_1.jpg,https://www.bergfreunde.de/didriksons-marek-usx-parka-parka/
Women's Crater Light Hardshell Hooded Jacket,Mammut,"ab 272,96 €",272.96,349.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4439-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-crater-light-hardshell-hooded-jacket-regenjacke/
Women's Kinetic 2.0 Jacket,Rab,"137,47 €",137.47,249.95,45.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4308-0211_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-kinetic-20-jacket-regenjacke/
Women's Durable Down Parka,Patagonia,"649,95 €",649.95,649.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6514-0111_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-durable-down-parka-daunenjacke/
MerinoWaffleFleece320 NorrdalSt. Zip Hoody,Stoic,"94,98 €",94.98,189.95,50.0,2.5,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6578-0311_pic1_1.jpg,https://www.bergfreunde.de/stoic-merinowafflefleece320-norrdalst-zip-hoody-zip-hoodie/
Women's Trollveggen GORE-TEX Pro Light Jacket,Norrøna,"698,95 €",698.95,698.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5034-0211_pic1_1.jpg,https://www.bergfreunde.de/norroena-womens-trollveggen-gore-tex-pro-light-jacket-regenjacke/
Trace 2.5L Jacket,Ortovox,"ab 231,96 €",231.96,289.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3904-0311_pic1_1.jpg,https://www.bergfreunde.de/ortovox-trace-25l-jacket-regenjacke/
Synch Jacket,Patagonia,"ab 85,47 €",85.47,149.95,43.0,4.5,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-4272-1611_pic1_1.jpg,https://www.bergfreunde.de/patagonia-synch-jacket-fleecejacke/
Women's Jacket Ultimate Warm,Scott,"ab 79,99 €",79.99,319.95,75.0,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5135-0711_pic1_1.jpg,https://www.bergfreunde.de/scott-womens-jacket-ultimate-warm-skijacke/
Women's East Recycled Polar Fleece Shirt,Passenger,"94,95 €",94.95,94.95,0.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_133-1224-0411_pic1_1.jpg,https://www.bergfreunde.de/passenger-womens-east-recycled-polar-fleece-shirt-hemd/
Yumiori Full Zip,The North Face,"87,96 €",87.96,109.95,20.0,4.5,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5405-1211_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-yumiori-full-zip-fleecejacke/
Women's PinusHe. II Ski Jacket,Heber Peak,"ab 80,48 €",80.48,229.95,65.0,4.7,51,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-4759-0411_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-womens-pinushe-ii-ski-jacket-skijacke/
Women's Taiss ML Hooded Jacket,Mammut,"116,96 €",116.96,149.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-7123-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-taiss-ml-hooded-jacket-fleecejacke/
Women's Linard Light Hardshell Hooded Jacket,Mammut,"140,36 €",140.36,179.95,22.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4441-0611_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-linard-light-hardshell-hooded-jacket-regenjacke/
Vardag Jacket,Fjällräven,"184,76 €",184.76,219.95,16.0,4.7,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-2048-0311_pic1_1.jpg,https://www.bergfreunde.de/fjaellraeven-vardag-jacket-freizeitjacke/
BottnenSt. WinterWool Parka,Stoic,"139,98 €",139.98,399.95,65.0,4.7,9,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6662-0111_pic1_1.jpg,https://www.bergfreunde.de/stoic-bottnenst-winterwool-parka-winterjacke/
Women's Firewall Mountain Jacket,Rab,"ab 233,96 €",233.96,299.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5153-0311_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-firewall-mountain-jacket-regenjacke/
Women's Garden Island Jacket,Patagonia,"149,95 €",149.95,149.95,0.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2875-0111_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-garden-island-jacket-freizeitjacke/
Women's CrownHe. II Knit Zip Hoody,Heber Peak,"38,47 €",38.47,69.95,45.0,4.3,18,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5508-0411_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-womens-crownhe-ii-knit-zip-hoody-fleecejacke/
Kyanite Lightweight Hoody,Arc'teryx,"149,95 €",149.95,149.95,0.0,4.8,12,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6111-0511_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-kyanite-lightweight-hoody-fleecejacke/
TimberHe. Fleece with Hood,Heber Peak,"54,98 €",54.98,109.95,50.0,4.8,11,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6371-0111_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-timberhe-fleece-with-hood-fleecejacke/
Women's Ultimate VIII Softshell Hooded Jacket,Mammut,"231,96 €",231.96,289.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2752-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-ultimate-viii-softshell-hooded-jacket-softshelljacke/
Korp Mid Jacket,Haglöfs,"62,97 €",62.97,89.95,29.99,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6119-0211_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-korp-mid-jacket-fleecejacke/
Explorair 3L Jacket,Scott,"269,96 €",269.96,299.95,10.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-7067-0411_pic1_1.jpg,https://www.bergfreunde.de/scott-explorair-3l-jacket-skijacke/
Women's Light Gust Hooded Pullover,Patagonia,"279,95 €",279.95,279.95,0.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5998-0111_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-light-gust-hooded-pullover-kunstfaserpullover/
R1 Techface Hoody,Patagonia,"219,95 €",219.95,219.95,0.0,4.8,28,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3568-0211_pic1_1.jpg,https://www.bergfreunde.de/patagonia-r1-techface-hoody-softshelljacke/
Ponsa Jacket,Craghoppers,"127,46 €",127.46,169.95,25.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3204-0411_pic1_1.jpg,https://www.bergfreunde.de/craghoppers-ponsa-jacket-freizeitjacke/
"SilvaHe. 2,5L Rain Jacket",Heber Peak,"84,47 €",84.47,129.95,35.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3970-0211_pic1_1.jpg,https://www.bergfreunde.de/heber-peak-silvahe-25l-rain-jacket-regenjacke/
Puez Altavia PL HD Jacket,Salewa,"83,97 €",83.97,119.95,30.0,4.8,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6264-0511_pic1_1.jpg,https://www.bergfreunde.de/salewa-puez-altavia-pl-hd-jacket-fleecejacke/
Women's R1 Crossstrata Hoody,Patagonia,"219,95 €",219.95,219.95,0.0,4.6,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2877-0111_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-r1-crossstrata-hoody-softshelljacke/
Girl's TNF Cyclone Wind Jacket,The North Face,"ab 52,76 €",52.76,59.95,11.99,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_718-0078-0311_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-girls-tnf-cyclone-wind-jacket-windjacke/
Kid's Gjende Jacket,Trollkids,"ab 59,47 €",59.47,84.95,29.99,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-3870-0511_pic1_1.jpg,https://www.bergfreunde.de/trollkids-kids-gjende-jacket-regenjacke/
Women's Yumiori Full Zip,The North Face,"85,76 €",85.76,109.95,22.0,4.5,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6484-0611_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-yumiori-full-zip-fleecejacke-bf/
Women's Manaslu Jacket,Mountain Equipment,"389,97 €",389.97,649.95,40.0,4.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-2263-0311_pic1_1.jpg,https://www.bergfreunde.de/mountain-equipment-womens-manaslu-jacket-regenjacke/
Women's Broad Peak Light IN Hooded Jacket,Mammut,"224,96 €",224.96,299.95,25.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6457-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-broad-peak-light-in-hooded-jacket-daunenjacke/
Women's MerinoGrid285 NorrdalSt. Zip Hoody,Stoic,"94,98 €",94.98,189.95,50.0,4.4,10,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5561-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinogrid285-norrdalst-zip-hoody-fleecejacke/
Women's Commuter Hipe Jacket,Peak Performance,"ab 255,96 €",255.96,319.95,20.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_151-0827-0311_pic1_1.jpg,https://www.bergfreunde.de/peak-performance-womens-commuter-hipe-jacket-fahrradjacke/
L.I.M Mimic II Hood,Haglöfs,"202,97 €",202.97,289.95,30.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6296-0111_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-lim-mimic-ii-hood-kunstfaserjacke/
Women's Rosemoor Fleece Jacket II,Vaude,"ab 44,98 €",44.98,89.95,49.99,4.5,11,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-3534-1411_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-rosemoor-fleece-jacket-ii-fleecejacke/
Women's Rosemoor Jacket II,Vaude,"119,96 €",119.96,149.95,20.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3489-0211_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-rosemoor-jacket-ii-regenjacke/
Women's IkharaM.,Maloja,"155,96 €",155.96,199.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_118-0479-0211_pic1_1.jpg,https://www.bergfreunde.de/maloja-womens-ikharam-windjacke/
Puez Cammino PL Jacket,Salewa,"ab 73,76 €",73.76,89.95,18.0,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6101-0611_pic1_1.jpg,https://www.bergfreunde.de/salewa-puez-cammino-pl-jacket-fleecejacke/
Women's Pedroc PowerTex 2.5L Light Jacket,Salewa,"125,37 €",125.37,219.95,43.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3339-0311_pic1_1.jpg,https://www.bergfreunde.de/salewa-womens-pedroc-powertex-25l-light-jacket-regenjacke/
Women's Atom Hoody,Arc'teryx,"ab 254,75 €",254.75,254.75,0.0,4.9,33,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5385-1011_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-womens-atom-hoody-kunstfaserjacke/
Girl's Jondalen Jacket XT,Trollkids,"ab 31,47 €",31.47,44.95,29.99,5.0,20,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-2534-1611_pic1_1.jpg,https://www.bergfreunde.de/trollkids-girls-jondalen-jacket-xt-fleecejacke/
Women's Moss Rain Coat,Helly Hansen,"109,16 €",109.16,139.95,22.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3498-0411_pic1_1.jpg,https://www.bergfreunde.de/helly-hansen-womens-moss-rain-coat-mantel/
Rodney V2 Softshell Jacket W-Pro 8000,Whistler,"54,56 €",54.56,69.95,22.0,5.0,4,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3294-0711_pic1_1.jpg,https://www.bergfreunde.de/whistler-rodney-v2-softshell-jacket-w-pro-8000-softshelljacke/
Fleece Grid Hoody,Ortovox,"ab 149,47 €",149.47,229.95,35.0,4.8,11,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5246-1111_pic1_1.jpg,https://www.bergfreunde.de/ortovox-fleece-grid-hoody-fleecejacke-bf/
Alto Light Hardshell Hooded Jacket,Mammut,"187,16 €",187.16,239.95,22.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3107-0511_pic1_1.jpg,https://www.bergfreunde.de/mammut-alto-light-hardshell-hooded-jacket-regenjacke/
Women's Ultimate Comfort Softshell Hooded Jacket,Mammut,"187,16 €",187.16,239.95,22.0,5.0,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2751-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-ultimate-comfort-softshell-hooded-jacket-softshelljacke/
Ducan Light Hardshell Hooded Jacket,Mammut,"148,16 €",148.16,189.95,22.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3344-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-ducan-light-hardshell-hooded-jacket-regenjacke/
